50
1 (67, 84): 2
2 (42, 49): 5
3 (50, 67): 3
4 (33, 41): 3
5 (28, 98): 3
6 (48, 53): 5
7 (88, 92): 2
8 (54, 74): 2
9 (41, 60): 5
10 (9, 49): 1
11 (39, 70): 2
12 (48, 61): 4
13 (17, 51): 5
14 (82, 85): 2
15 (42, 56): 4
16 (13, 95): 3
17 (34, 87): 1
18 (22, 25): 5
19 (39, 64): 2
20 (8, 33): 4
21 (31, 54): 3
22 (36, 69): 4
23 (39, 69): 4
24 (16, 46): 5
25 (26, 62): 3
26 (9, 54): 2
27 (22, 68): 1
28 (67, 100): 1
29 (21, 48): 3
30 (85, 95): 5
31 (67, 100): 3
32 (2, 37): 3
33 (4, 76): 4
34 (43, 76): 2
35 (48, 93): 5
36 (24, 93): 4
37 (19, 95): 2
38 (22, 38): 4
39 (16, 83): 5
40 (34, 76): 4
41 (25, 87): 3
42 (48, 66): 4
43 (86, 88): 3
44 (4, 5): 5
45 (51, 94): 5
46 (38, 52): 4
47 (55, 60): 2
48 (8, 86): 3
49 (44, 50): 2
50 (1, 1): 100
